,0,1,2,3,4
FR7J9CH,"('K6QO', 0.9960392713546752)","('QBOL', 0.002690605353564)","('PYUQ', 0.0005985861062072)","('ECY3', 0.0001665883319219)","('GHYX', 0.0001483055530115)"
XBAK09S,"('RVSZ', 0.9999052286148072)","('GHYX', 3.025982550752815e-05)","('N2MW', 1.8524046026868746e-05)","('PYUQ', 8.257112313003745e-06)","('QBOL', 7.464660029654624e-06)"
DMN4XON,"('K6QO', 0.9928925037384032)","('QBOL', 0.0037417355924844)","('SOP4', 0.0008298418833874)","('66FJ', 0.000570865755435)","('7POT', 0.0004746356571558)"
04XMZ2U,"('RVSZ', 0.9999018907546996)","('GHYX', 2.5035024009412155e-05)","('PYUQ', 2.4739299988141283e-05)","('RIBP', 9.987958037527278e-06)","('QBOL', 7.934113455121405e-06)"
IYCITQ6,"('PYUQ', 0.5619672536849976)","('RVSZ', 0.2580441236495971)","('GHYX', 0.1164977997541427)","('LJR9', 0.0378993786871433)","('N2MW', 0.0070518013089895)"
H3KM0O3,"('J9JW', 0.9882258176803588)","('GHYX', 0.0105245849117636)","('RVSZ', 0.0007103502284735)","('N2MW', 0.0004117962380405)","('LJR9', 2.6913927285932004e-05)"
X8PVTTK,"('K6QO', 0.9813329577445984)","('GHYX', 0.0155522245913743)","('ECY3', 0.0009202062501572)","('PYUQ', 0.0007395172142423)","('SOP4', 0.0002600036386866)"
7PUIV2M,"('K6QO', 0.9878085851669312)","('QBOL', 0.0043792687356472)","('N2MW', 0.0037743013817816)","('GHYX', 0.0019631620962172)","('ECY3', 0.000446807447588)"
EWNTFGB,"('K6QO', 0.9938136339187622)","('QBOL', 0.0025458349846303)","('GHYX', 0.0013905109371989)","('PYUQ', 0.000850123935379)","('ECY3', 0.0004805129137821)"
J29JC4Q,"('K6QO', 0.5066555142402649)","('QBOL', 0.483079582452774)","('PYUQ', 0.0023367051035165)","('ECY3', 0.0021675243042409)","('AHXO', 0.0009252312011085)"
6HJAVZ6,"('RVSZ', 0.999777615070343)","('GHYX', 4.375817661639303e-05)","('PYUQ', 4.0709735912969336e-05)","('SOP4', 4.025805537821725e-05)","('N2MW', 3.6066518077859655e-05)"
SP4F01R,"('K6QO', 0.9889484643936156)","('QBOL', 0.0055052037350833)","('GHYX', 0.0024432104546576)","('ECY3', 0.0009734207415021)","('PYUQ', 0.0006370970513671)"
Q7VBOA4,"('RVSZ', 0.9998601675033568)","('GHYX', 7.636013469891623e-05)","('N2MW', 2.261942245240789e-05)","('PYUQ', 9.310095265391284e-06)","('QBOL', 7.56494773668237e-06)"
CR3AJSV,"('PYUQ', 0.8824427723884583)","('QBOL', 0.0737600773572921)","('GHYX', 0.0157791581004858)","('ECY3', 0.011767934076488)","('LJR9', 0.0093495287001132)"
A12OH6X,"('RVSZ', 0.9996390342712402)","('GHYX', 0.000275266560493)","('PYUQ', 2.2747313778381795e-05)","('7POT', 2.0084429706912488e-05)","('ECY3', 8.730500667297747e-06)"
8Y8HJ5V,"('QBOL', 0.8285254240036011)","('GHYX', 0.1199267730116844)","('ECY3', 0.0242690872400999)","('RIBP', 0.0152733093127608)","('PYUQ', 0.0044139372184872)"
DTHYBI6,"('K6QO', 0.8815772533416748)","('QBOL', 0.0937337949872016)","('GHYX', 0.007380933035165)","('PYUQ', 0.0050578131340444)","('N2MW', 0.0028005898930132)"
V2LTZE1,"('RVSZ', 0.8417143821716309)","('GHYX', 0.1047608330845832)","('PYUQ', 0.032636497169733)","('ECY3', 0.0115622319281101)","('JZ9D', 0.0016969847492873)"
48V16ZB,"('RIBP', 0.984887957572937)","('8NN1', 0.0066135204397141)","('66FJ', 0.002130911219865)","('JWFN', 0.001329242484644)","('PYUQ', 0.0012553697451949)"
1928CPS,"('RVSZ', 0.9997642636299132)","('GHYX', 0.000129735795781)","('QBOL', 2.826469062711112e-05)","('N2MW', 2.229852179880254e-05)","('RIBP', 2.2173662728164345e-05)"
OW328A7,"('RVSZ', 0.9997588992118835)","('GHYX', 0.0001556117640575)","('N2MW', 2.494241743988823e-05)","('PYUQ', 1.560250711918343e-05)","('AHXO', 7.552114766440354e-06)"
4DEK7GN,"('K6QO', 0.9847217202186584)","('QBOL', 0.0074400724843144)","('PYUQ', 0.00209770235233)","('ECY3', 0.001291167573072)","('RIBP', 0.001046146498993)"
QT2Q0W5,"('RVSZ', 0.9997701048851012)","('PYUQ', 0.0001031825813697)","('GHYX', 3.796407327172346e-05)","('7POT', 2.180744195356965e-05)","('SOP4', 1.8074970284942538e-05)"
359AISH,"('RVSZ', 0.9995107650756836)","('GHYX', 0.0004330884839873)","('QBOL', 1.1020530109817628e-05)","('PYUQ', 8.249289749073796e-06)","('RIBP', 7.620859832968563e-06)"
7GGILZ7,"('RVSZ', 0.9995088577270508)","('GHYX', 0.0002810995210893)","('N2MW', 5.817419514642097e-05)","('PYUQ', 4.856280793319456e-05)","('RIBP', 4.239166446495801e-05)"
K4I6GEC,"('RVSZ', 0.9998328685760498)","('GHYX', 7.448046380886808e-05)","('PYUQ', 3.29540744132828e-05)","('QBOL', 1.323219112236984e-05)","('66FJ', 1.2710853297903668e-05)"
R1NZEDE,"('RVSZ', 0.999159336090088)","('PYUQ', 0.0003330381296109)","('LJR9', 0.0001723850436974)","('GHYX', 0.0001294254179811)","('7POT', 0.0001164236236945)"
CBUOD28,"('QBOL', 0.6390640139579773)","('RVSZ', 0.2344771027565002)","('N2MW', 0.0767970234155654)","('BSTQ', 0.0244178865104913)","('GHYX', 0.0081478441134095)"
3BIN73A,"('K6QO', 0.9847315549850464)","('PYUQ', 0.0101164663210511)","('GHYX', 0.0025059708859771)","('QBOL', 0.001569488318637)","('ECY3', 0.0002333135344088)"
A9LDMUT,"('K6QO', 0.9502255320549012)","('GHYX', 0.0259070862084627)","('QBOL', 0.0178655348718166)","('PYUQ', 0.0024899386335164)","('ECY3', 0.0020104350987821)"
4516ALB,"('RVSZ', 0.9996337890625)","('PYUQ', 0.0002714043657761)","('GHYX', 2.43977083300706e-05)","('N2MW', 2.310580930497963e-05)","('QBOL', 1.0643495443218852e-05)"
R5TA4TT,"('K6QO', 0.7474850416183472)","('QBOL', 0.1157859042286872)","('PYUQ', 0.0946006253361702)","('N2MW', 0.0132933305576443)","('GHYX', 0.0079391682520508)"
H9W5ETV,"('K6QO', 0.9732926487922668)","('QBOL', 0.0141072571277618)","('GHYX', 0.0100751975551247)","('PYUQ', 0.0006037841085344)","('ECY3', 0.0005138058331795)"
QJU8EMG,"('RVSZ', 0.9998599290847778)","('QBOL', 4.361886749393307e-05)","('GHYX', 2.7510257496032864e-05)","('ECY3', 2.556261097197421e-05)","('PYUQ', 1.0888972610700876e-05)"
O89OUDX,"('RIBP', 0.6752713918685913)","('66FJ', 0.0957317277789115)","('K6QO', 0.0841321796178817)","('PYUQ', 0.0838227197527885)","('SOP4', 0.029360793530941)"
KMKKDJQ,"('QBOL', 0.7220838665962219)","('RVSZ', 0.11258065700531)","('RIBP', 0.0558775700628757)","('AHXO', 0.0354224741458892)","('P5DA', 0.0217676907777786)"
GQWN767,"('K6QO', 0.9925827980041504)","('GHYX', 0.0049701058305799)","('QBOL', 0.0018283606041222)","('ECY3', 0.0001644456933718)","('PYUQ', 9.19457379495725e-05)"
NG3NXM7,"('K6QO', 0.916945219039917)","('PYUQ', 0.0630753859877586)","('QBOL', 0.0123118171468377)","('ECY3', 0.0036829751916229)","('GHYX', 0.002224575728178)"
Y1LJZ9A,"('K6QO', 0.9904680848121644)","('GHYX', 0.0074415071867406)","('PYUQ', 0.0011082771234214)","('RIBP', 0.0003054809931199)","('N2MW', 8.987010369310156e-05)"
REP86V9,"('RVSZ', 0.999729573726654)","('GHYX', 0.0001471368013881)","('RIBP', 3.7653710023732856e-05)","('QBOL', 3.06549045490101e-05)","('PYUQ', 2.0299021343817003e-05)"
X3NOII0,"('RVSZ', 0.9997636675834656)","('PYUQ', 0.0001033399821608)","('GHYX', 5.031064574723132e-05)","('N2MW', 2.215422318840865e-05)","('SOP4', 1.715017788228579e-05)"
0G22JLS,"('QBOL', 0.9180009961128236)","('PYUQ', 0.0350857451558113)","('GHYX', 0.0264972914010286)","('ECY3', 0.0090984730049967)","('JWFN', 0.0029023005627095)"
1J5AOJB,"('K6QO', 0.9965586066246032)","('QBOL', 0.0014287701342254)","('PYUQ', 0.0011071743210777)","('ECY3', 0.0002646674111019)","('GHYX', 0.0002340458158869)"
IJFV3GX,"('K6QO', 0.9785191416740416)","('QBOL', 0.0184382889419794)","('RIBP', 0.000686744635459)","('GHYX', 0.0005787761183455)","('ECY3', 0.0004004922520834)"
C527A8T,"('RVSZ', 0.9996781349182128)","('GHYX', 0.0001961149682756)","('QBOL', 2.3242222596309148e-05)","('PYUQ', 2.0081384718650952e-05)","('SOP4', 1.62107444339199e-05)"
CD3SGPU,"('RVSZ', 0.999707043170929)","('GHYX', 0.0001948151912074)","('PYUQ', 2.3243694158736616e-05)","('QBOL', 1.7602193111088127e-05)","('ECY3', 1.159454222943168e-05)"
WFAY4AN,"('RVSZ', 0.9998316764831544)","('GHYX', 3.638978523667902e-05)","('N2MW', 2.960825622722041e-05)","('QBOL', 2.768246486084536e-05)","('PYUQ', 2.1979330995236523e-05)"
K200438,"('K6QO', 0.7696402072906494)","('QBOL', 0.1327096819877624)","('RIBP', 0.042059876024723)","('GHYX', 0.0263896882534027)","('ECY3', 0.0094390101730823)"
FZ2P5ZX,"('K6QO', 0.7606726884841919)","('PYUQ', 0.1884406507015228)","('GHYX', 0.0190120749175548)","('ECY3', 0.0109635572880506)","('N2MW', 0.0052586770616471)"
E5AIUFC,"('K6QO', 0.9926486611366272)","('GHYX', 0.0038104022387415)","('QBOL', 0.0021127110812813)","('N2MW', 0.0005343604134395)","('ECY3', 0.0003605100209824)"
JC8CVYI,"('K6QO', 0.9864990711212158)","('QBOL', 0.008412541821599)","('GHYX', 0.0013975448673591)","('ECY3', 0.0008521822746843)","('N2MW', 0.0005808497080579)"
DEP56TC,"('RVSZ', 0.999530792236328)","('GHYX', 0.0002810898586176)","('PYUQ', 0.0001458703336538)","('QBOL', 1.5398936739074998e-05)","('ECY3', 6.097333425714169e-06)"
0C8TJKN,"('RIBP', 0.5940721035003662)","('SOP4', 0.278058260679245)","('66FJ', 0.0592447333037853)","('RVSZ', 0.0505522862076759)","('8NN1', 0.0064302999526262)"
I1XR2WJ,"('JZ9D', 0.9986684322357178)","('PYUQ', 0.0006669707945547)","('GHYX', 0.0002626111963763)","('JWFN', 0.0002042097621597)","('ECY3', 9.372964268550275e-05)"
LQCY7DZ,"('RVSZ', 0.5183011293411255)","('QBOL', 0.190592810511589)","('7POT', 0.1248483061790466)","('RIBP', 0.1037861406803131)","('LJR9', 0.0190237443894147)"
L7YST65,"('RVSZ', 0.9997701048851012)","('GHYX', 6.08330374234356e-05)","('QBOL', 3.4593031159602106e-05)","('RIBP', 2.7509489882504568e-05)","('7POT', 2.043464337475598e-05)"
HI0JFXU,"('K6QO', 0.9616644978523254)","('ECY3', 0.0199466552585363)","('GHYX', 0.011213538236916)","('QBOL', 0.0038667083717882)","('AHXO', 0.001040018396452)"
P3VK2JF,"('K6QO', 0.9738929867744446)","('RIBP', 0.0110088642686605)","('GHYX', 0.0056005893275141)","('PYUQ', 0.0032575004734098)","('ECY3', 0.0018109889933839)"
KZ3HJIL,"('K6QO', 0.9174153208732604)","('ECY3', 0.0396740585565567)","('PYUQ', 0.0195804666727781)","('QBOL', 0.0183429084718227)","('GHYX', 0.0025688100140541)"
JYJEC4F,"('K6QO', 0.9552717208862304)","('QBOL', 0.0391593761742115)","('GHYX', 0.0026034396141767)","('PYUQ', 0.001162422937341)","('ECY3', 0.000662452483084)"
WVXULHT,"('K6QO', 0.9728615880012512)","('PYUQ', 0.0102791944518685)","('GHYX', 0.0099850948899984)","('7POT', 0.0018028998747467)","('ECY3', 0.0017801545327529)"
RLNZVY9,"('K6QO', 0.9822288751602172)","('GHYX', 0.0130863655358552)","('QBOL', 0.0036622215993702)","('ECY3', 0.0002997356059495)","('RIBP', 0.0001486926630605)"
ZDME578,"('K6QO', 0.9747692942619324)","('QBOL', 0.0130434054881334)","('GHYX', 0.0083636529743671)","('ECY3', 0.0017531887860968)","('N2MW', 0.0006294330232776)"
1WYYFWN,"('RVSZ', 0.999795138835907)","('GHYX', 7.166655268520117e-05)","('7POT', 3.95043425669428e-05)","('PYUQ', 3.685427873278968e-05)","('QBOL', 1.861934106273111e-05)"
H4EW7C2,"('K6QO', 0.9677667617797852)","('QBOL', 0.0179984625428915)","('GHYX', 0.0041681760922074)","('ECY3', 0.0036249277181923)","('P5DA', 0.0029788340907543)"
BT8YVWH,"('ECY3', 0.8779007196426392)","('QBOL', 0.0457956306636333)","('JWFN', 0.0436813086271286)","('GHYX', 0.0243936013430356)","('PYUQ', 0.0027895898092538)"
I8FJDZ5,"('K6QO', 0.9988151788711548)","('QBOL', 0.0007168109295889)","('PYUQ', 9.934097761288284e-05)","('GHYX', 9.429735655430704e-05)","('ECY3', 5.8750018069986254e-05)"
OWQAZAE,"('QBOL', 0.416853129863739)","('K6QO', 0.3823124766349792)","('ECY3', 0.1287067979574203)","('GHYX', 0.0634681358933448)","('PYUQ', 0.0033293846063315)"
R11JQ4G,"('K6QO', 0.9631894826889038)","('QBOL', 0.0260274410247802)","('PYUQ', 0.005694096442312)","('GHYX', 0.0023114252835512)","('N2MW', 0.0009203798836097)"
1NVZS7U,"('J9JW', 0.997187077999115)","('QBOL', 0.0019318452104926)","('RVSZ', 0.0006308140582405)","('GHYX', 4.549447112367488e-05)","('BSTQ', 4.2009873141068965e-05)"
LFEP07A,"('RVSZ', 0.9999209642410278)","('GHYX', 3.054175977013074e-05)","('PYUQ', 1.1576568795135245e-05)","('QBOL', 1.0659689905878622e-05)","('RIBP', 4.475632067624247e-06)"
UZPUBMS,"('K6QO', 0.9289025664329528)","('GHYX', 0.058776568621397)","('PYUQ', 0.0055219321511685)","('LJR9', 0.0024140737950801)","('N2MW', 0.0019444096833467)"
NTTRSSI,"('RVSZ', 0.9999091625213624)","('RIBP', 2.1091571397846565e-05)","('SOP4', 2.019019484578166e-05)","('PYUQ', 1.2784732462023383e-05)","('QBOL', 7.127790013328195e-06)"
KFAWLS7,"('K6QO', 0.9716198444366456)","('QBOL', 0.0238637719303369)","('ECY3', 0.001274585025385)","('GHYX', 0.0011079596588388)","('PYUQ', 0.0006340093095786)"
I46MVDS,"('RVSZ', 0.9979376792907716)","('GHYX', 0.0019855019636452)","('PYUQ', 2.8098555048927665e-05)","('RIBP', 1.500641792517854e-05)","('N2MW', 9.417116416443603e-06)"
UVD0326,"('K6QO', 0.9990390539169312)","('QBOL', 0.0005280144396238)","('GHYX', 0.0001260999561054)","('ECY3', 0.0001021143762045)","('P5DA', 4.280350913177245e-05)"
QYQZX1M,"('RVSZ', 0.9994712471961976)","('GHYX', 0.0004137439536862)","('QBOL', 2.422452780592721e-05)","('RIBP', 1.92187617358286e-05)","('PYUQ', 1.3495330676960292e-05)"
0XJ8TL4,"('RVSZ', 0.9996662139892578)","('QBOL', 0.000125046717585)","('GHYX', 6.155892333481461e-05)","('PYUQ', 4.4861415517516434e-05)","('RIBP', 3.915865090675652e-05)"
0A02D88,"('LJR9', 0.7907450199127197)","('RIBP', 0.0856077745556831)","('P5DA', 0.06479974091053)","('QBOL', 0.0255531780421733)","('8NN1', 0.0104145221412181)"
GUE2IQF,"('QBOL', 0.9494044184684752)","('RVSZ', 0.0427372045814991)","('GHYX', 0.0023619385901838)","('FM3X', 0.00138476700522)","('7POT', 0.0011135162785649)"
0U1ZB5W,"('K6QO', 0.9846251010894777)","('QBOL', 0.0080017885193228)","('PYUQ', 0.002275156090036)","('ECY3', 0.0021353175397962)","('N2MW', 0.0013132747262716)"
GNA8S1C,"('RVSZ', 0.9998918771743774)","('GHYX', 2.4119484805851243e-05)","('QBOL', 1.8606535377330147e-05)","('PYUQ', 1.281454024137929e-05)","('N2MW', 8.086300113063771e-06)"
OHFJOWS,"('RVSZ', 0.9990589022636414)","('RIBP', 0.000506853160914)","('66FJ', 0.0001948345161508)","('SOP4', 9.196592873195186e-05)","('GHYX', 3.251775342505425e-05)"
Q2SJWBL,"('PYUQ', 0.6438091993331909)","('RVSZ', 0.2112372070550918)","('QBOL', 0.0787558853626251)","('GHYX', 0.0256608501076698)","('66FJ', 0.0074631231836974)"
8R1WVEQ,"('K6QO', 0.95041823387146)","('QBOL', 0.0344776511192321)","('GHYX', 0.012838864699006)","('PYUQ', 0.0005355468601919)","('ECY3', 0.0005183616885915)"
P30K9NK,"('RVSZ', 0.9998893737792968)","('GHYX', 2.7280109861749224e-05)","('7POT', 2.3226635676110163e-05)","('QBOL', 9.84538928605616e-06)","('66FJ', 7.717652806604747e-06)"
6UNCWUG,"('QBOL', 0.963350236415863)","('ECY3', 0.0133870178833603)","('JWFN', 0.0079314429312944)","('GHYX', 0.006126869469881)","('PYUQ', 0.003574731061235)"
1R6G1HL,"('QBOL', 0.308443158864975)","('RIBP', 0.1990620642900467)","('SOP4', 0.1534135490655899)","('K6QO', 0.1432827413082122)","('PYUQ', 0.086793228983879)"
XOJAHED,"('RVSZ', 0.4304517805576324)","('PYUQ', 0.3956458568572998)","('7POT', 0.0511857420206069)","('LJR9', 0.0408687628805637)","('GHYX', 0.0301211886107921)"
LCP4KSE,"('K6QO', 0.7316851019859314)","('QBOL', 0.2092715501785278)","('GHYX', 0.0439771898090839)","('PYUQ', 0.0061037577688694)","('ECY3', 0.002706428291276)"
P0BRMJZ,"('66FJ', 0.507156252861023)","('RIBP', 0.363619327545166)","('RVSZ', 0.0407908074557781)","('QBOL', 0.0311255361884832)","('8NN1', 0.0232989713549613)"
ZKREV6Z,"('K6QO', 0.9214112162590028)","('QBOL', 0.0667420923709869)","('PYUQ', 0.0066451085731387)","('RIBP', 0.0010903106303885)","('GHYX', 0.001065960037522)"
FI1DVYZ,"('ECY3', 0.9288386106491088)","('QBOL', 0.0486788935959339)","('GHYX', 0.017018649727106)","('PYUQ', 0.0021769788581877)","('JWFN', 0.0017267343355342)"
3A2A46T,"('K6QO', 0.9844186305999756)","('PYUQ', 0.0115312170237302)","('QBOL', 0.0015782301779836)","('GHYX', 0.0014462779508903)","('ECY3', 0.0003735478094313)"
0ZWUWSW,"('RVSZ', 0.9998600482940674)","('N2MW', 4.447522951522842e-05)","('GHYX', 2.039615901594516e-05)","('QBOL', 1.508940931671532e-05)","('PYUQ', 1.485796383349225e-05)"
XY3GSC9,"('RVSZ', 0.2692698538303375)","('SOP4', 0.2280412912368774)","('QBOL', 0.2177172005176544)","('GHYX', 0.062220811843872)","('LJR9', 0.0542030781507492)"
OV8ZC4Q,"('K6QO', 0.9193808436393738)","('ECY3', 0.0340731143951416)","('GHYX', 0.0150210736319422)","('RIBP', 0.0104138664901256)","('N2MW', 0.0066977683454751)"
FZC1IR5,"('K6QO', 0.9928513765335084)","('QBOL', 0.0030385130085051)","('GHYX', 0.0024208980612456)","('PYUQ', 0.0008898316300474)","('ECY3', 0.0003169131814502)"
VT9UCDD,"('RVSZ', 0.999766170978546)","('QBOL', 4.173969500698149e-05)","('66FJ', 3.077926521655172e-05)","('7POT', 2.8272132112761028e-05)","('GHYX', 2.5032628400367685e-05)"
SGS6C4I,"('RVSZ', 0.9998244643211364)","('QBOL', 3.923217445844784e-05)","('66FJ', 2.996502189489547e-05)","('GHYX', 2.885398680518847e-05)","('PYUQ', 2.2102409275248647e-05)"
MGLAYZV,"('RVSZ', 0.9997805953025818)","('N2MW', 7.55662695155479e-05)","('GHYX', 5.254397910903208e-05)","('PYUQ', 2.290837983309757e-05)","('QBOL', 1.7812486476032063e-05)"
6MRUULZ,"('K6QO', 0.9993306398391724)","('QBOL', 0.000318708596751)","('GHYX', 0.0001422940840711)","('ECY3', 3.7065823562443256e-05)","('7POT', 3.65176638297271e-05)"
YDBJGEL,"('N2MW', 0.9778816103935242)","('GHYX', 0.012596920132637)","('RVSZ', 0.0041214940138161)","('QBOL', 0.001507775275968)","('PYUQ', 0.0006403957959264)"
QCDBRQO,"('K6QO', 0.9579595923423768)","('QBOL', 0.0361026339232921)","('ECY3', 0.0022890749387443)","('GHYX', 0.0011630731169134)","('AHXO', 0.0006276367930695)"
XG80SZH,"('K6QO', 0.9103756546974182)","('QBOL', 0.0675370320677757)","('PYUQ', 0.0119554139673709)","('GHYX', 0.0052376082167029)","('ECY3', 0.002008227398619)"
GXOOU8F,"('RVSZ', 0.999798595905304)","('GHYX', 4.918737977277488e-05)","('PYUQ', 4.036181417177431e-05)","('LJR9', 2.488051904947497e-05)","('QBOL', 1.960115332622081e-05)"
SEB614V,"('RIBP', 0.9572052359580994)","('RVSZ', 0.0162630844861269)","('8NN1', 0.0101337516680359)","('PYUQ', 0.0052473656833171)","('LJR9', 0.0035914953332394)"
KF2B2PI,"('RVSZ', 0.9996119141578674)","('PYUQ', 0.0002402923128101)","('GHYX', 5.7335033488925546e-05)","('QBOL', 3.0050276109250262e-05)","('SOP4', 2.484829929016996e-05)"
OBJJI9D,"('PYUQ', 0.4819635152816772)","('RVSZ', 0.4457729458808899)","('GHYX', 0.0533469468355178)","('LJR9', 0.0039812549948692)","('RIBP', 0.0036775250919163)"
PAE9W97,"('K6QO', 0.9952332377433776)","('QBOL', 0.0021215842571109)","('N2MW', 0.0008027839357964)","('GHYX', 0.0007582867401652)","('ECY3', 0.000285549002001)"
7P9EM3K,"('RVSZ', 0.9996494054794312)","('GHYX', 0.0002652445982675)","('QBOL', 4.5374144974630326e-05)","('PYUQ', 1.4239547454053536e-05)","('ECY3', 4.015828380943276e-06)"
NDYPJVP,"('RVSZ', 0.9997755885124208)","('PYUQ', 0.000114261485578)","('GHYX', 6.837651744717732e-05)","('QBOL', 1.7263100744457915e-05)","('ECY3', 5.483661880134605e-06)"
FQFJXOA,"('RVSZ', 0.999777376651764)","('GHYX', 0.0001554533955641)","('QBOL', 1.3905699233873747e-05)","('N2MW', 8.692932169651613e-06)","('PYUQ', 7.341365289903479e-06)"
8O83NCW,"('PYUQ', 0.6939164400100708)","('RVSZ', 0.1817743629217147)","('GHYX', 0.0667133852839469)","('LJR9', 0.0203642584383487)","('7POT', 0.0090685188770294)"
P88MGMI,"('K6QO', 0.9302798509597778)","('GHYX', 0.0418992564082145)","('QBOL', 0.0253294184803962)","('PYUQ', 0.0008926351438276)","('ECY3', 0.0004257744294591)"
NHYR2H2,"('K6QO', 0.9578691720962524)","('PYUQ', 0.0192166399210691)","('QBOL', 0.0165589246898889)","('GHYX', 0.0029459486249834)","('ECY3', 0.0008696534787304)"
4V5S5EH,"('K6QO', 0.941399872303009)","('QBOL', 0.0471343286335468)","('GHYX', 0.0054998728446662)","('ECY3', 0.0026995977386832)","('N2MW', 0.0009260678780265)"
4II8I7R,"('RVSZ', 0.9998449087142944)","('GHYX', 0.0001116875282605)","('QBOL', 1.2033792700094637e-05)","('N2MW', 5.817109013150912e-06)","('JWFN', 5.168389179743826e-06)"
LSBLY5F,"('RVSZ', 0.999768078327179)","('QBOL', 9.177536412607878e-05)","('GHYX', 8.312614227179438e-05)","('SOP4', 1.0414642019895837e-05)","('N2MW', 8.772809451329522e-06)"
SAJJ0EO,"('RVSZ', 0.999767243862152)","('GHYX', 0.0001024524754029)","('AHXO', 2.801984919642564e-05)","('QBOL', 2.225191747129429e-05)","('RIBP', 1.735968362481799e-05)"
ADZ27TH,"('RVSZ', 0.9994891881942748)","('GHYX', 0.0004565598210319)","('QBOL', 2.761432551778853e-05)","('PYUQ', 8.411851013079286e-06)","('RIBP', 4.641785835701739e-06)"
8F8OAB0,"('QBOL', 0.8534426093101501)","('RVSZ', 0.1157645657658577)","('LJR9', 0.007051327265799)","('P5DA', 0.005725460126996)","('GHYX', 0.0042055314406752)"
LTN3EAH,"('RIBP', 0.663679838180542)","('SOP4', 0.1688772439956665)","('66FJ', 0.0841977223753929)","('QBOL', 0.0281589739024639)","('8NN1', 0.0181815195828676)"
9XKR9RN,"('K6QO', 0.9683403968811036)","('N2MW', 0.0072474246844649)","('RIBP', 0.0062005082145333)","('GHYX', 0.0061006709001958)","('QBOL', 0.0047495262697339)"
1VO6D54,"('JZ9D', 0.9976487755775452)","('QBOL', 0.0020092828199267)","('RVSZ', 0.0001869761908892)","('7POT', 3.2940904930001125e-05)","('P5DA', 1.8521874153520912e-05)"
81NUOBS,"('RIBP', 0.5549201965332031)","('SOP4', 0.1712432950735092)","('K6QO', 0.1674400418996811)","('66FJ', 0.0511110201478004)","('8NN1', 0.0419608615338802)"
CG6BQB4,"('QBOL', 0.7188507318496704)","('PYUQ', 0.1914321333169937)","('K6QO', 0.0580175146460533)","('ECY3', 0.0153625318780541)","('GHYX', 0.0039663077332079)"
NLPX6QU,"('JZ9D', 0.9978870749473572)","('GHYX', 0.0010171721223741)","('QBOL', 0.0005725889350287)","('RVSZ', 0.0003760629333555)","('PYUQ', 6.702659447910264e-05)"
1YEK1RS,"('RIBP', 0.506571352481842)","('PYUQ', 0.1468100994825363)","('SOP4', 0.0935006588697433)","('66FJ', 0.0387399420142173)","('ECY3', 0.0336801260709762)"
EFACX2P,"('K6QO', 0.9921147227287292)","('QBOL', 0.0038855639286339)","('ECY3', 0.0009321614634245)","('GHYX', 0.0008798425551503)","('66FJ', 0.0006139345350675)"
20E5L49,"('RVSZ', 0.9745734930038452)","('GHYX', 0.011876493692398)","('QBOL', 0.0038698844145983)","('AHXO', 0.0035196356475353)","('RIBP', 0.0020481012761592)"
YXY51CV,"('RVSZ', 0.9994713664054872)","('GHYX', 0.0004005823284387)","('AHXO', 2.657909317349549e-05)","('PYUQ', 2.555972059781197e-05)","('QBOL', 2.291062264703214e-05)"
CNN8RIN,"('K6QO', 0.8422313332557678)","('QBOL', 0.1418499499559402)","('GHYX', 0.0103794541209936)","('PYUQ', 0.0023098052479326)","('ECY3', 0.0013438110472634)"
R883G7T,"('K6QO', 0.990533709526062)","('GHYX', 0.004159920848906)","('QBOL', 0.0028893933631479)","('PYUQ', 0.0010708164190873)","('RIBP', 0.0003970908292103)"
68NDWAB,"('RVSZ', 0.9997478127479552)","('PYUQ', 0.0001108546493924)","('LJR9', 4.112958049518056e-05)","('N2MW', 3.567165549611673e-05)","('7POT', 1.95224038179731e-05)"
1C1VW6I,"('K6QO', 0.9789527654647828)","('QBOL', 0.0129388663917779)","('GHYX', 0.0047742980532348)","('PYUQ', 0.0019303358858451)","('ECY3', 0.0006178414914757)"
5YDYC27,"('RVSZ', 0.999460995197296)","('GHYX', 0.0003598966868594)","('N2MW', 7.757456478429958e-05)","('PYUQ', 3.9773098251316696e-05)","('LJR9', 2.312358992639929e-05)"
W7W74JS,"('K6QO', 0.4995827674865722)","('QBOL', 0.1327398270368576)","('66FJ', 0.1195216700434684)","('ECY3', 0.0918088033795356)","('RIBP', 0.0826659575104713)"
DIK8VXN,"('RVSZ', 0.9978945851325988)","('GHYX', 0.002003749134019)","('PYUQ', 3.281599492765963e-05)","('RIBP', 1.3417607988230884e-05)","('AHXO', 1.0989308975695168e-05)"
3PLLTK0,"('RVSZ', 0.7577856779098511)","('8NN1', 0.0969207808375358)","('SOP4', 0.048092134296894)","('ECY3', 0.0183163043111562)","('GHYX', 0.0180420633405447)"
FIE5V31,"('RVSZ', 0.9996901750564576)","('GHYX', 0.0002078283869195)","('QBOL', 2.011014294112101e-05)","('ECY3', 1.624336073291488e-05)","('JZ9D', 1.3850582035956904e-05)"
Z131I3I,"('QBOL', 0.6910165548324585)","('JWFN', 0.1017946898937225)","('GHYX', 0.0847259163856506)","('RIBP', 0.0585211105644702)","('ECY3', 0.0309774689376354)"
